provider_city,provider_city_id
ABBEVILLE,0
ABERDEEN,1
ABILENE,2
ABINGDON,3
ABINGTON,4
ADA,5
ADDISON,6
ADEL,7
ADRIAN,8
AHOSKIE,9
AIEA,10
AIKEN,11
AKRON,12
ALABASTER,13
ALAMEDA,14
ALAMOGORDO,15
ALAMOSA,16
ALBANY,17
ALBEMARLE,18
ALBERT LEA,19
ALBUQUERQUE,20
ALEXANDER CITY,21
ALEXANDRIA,22
ALHAMBRA,23
ALICE,24
ALLEN,25
ALLENTOWN,26
ALLIANCE,27
ALMA,28
ALPENA,29
ALTON,30
ALTOONA,31
ALTUS,32
ALVA,33
AMARILLO,34
AMERICAN FORK,35
AMERICUS,36
AMES,37
AMHERST,38
AMORY,39
AMSTERDAM,40
ANACORTES,41
ANAHEIM,42
ANCHORAGE,43
ANDALUSIA,44
ANDERSON,45
ANDOVER,46
ANDREWS,47
ANGLETON,48
ANN ARBOR,49
ANNAPOLIS,50
ANNISTON,51
ANSON,52
ANTIOCH,53
ANTLERS,54
APPLE VALLEY,55
APPLETON,56
ARANSAS PASS,57
ARCADIA,58
ARCATA,59
ARDMORE,60
ARKANSAS CITY,61
ARLINGTON,62
ARLINGTON HEIGH,63
ARROYO GRANDE,64
ARTESIA,65
ASHEBORO,66
ASHEVILLE,67
ASHLAND,68
ASHTABULA,69
ATHENS,70
ATLANTA,71
ATLANTIC CITY,72
ATLANTIS,73
ATMORE,74
ATTLEBORO,75
AUBURN,76
AUGUSTA,77
AURORA,78
AUSTELL,79
AUSTIN,80
AVENTURA,81
AVON,82
AYER,83
AZLE,84
BAD AXE,85
BAINBRIDGE,86
BAKERSFIELD,87
BALDWIN PARK,88
BALTIMORE,89
BAMBERG,90
BANGOR,91
BANNING,92
BARABOO,93
BARBERTON,94
BARDSTOWN,95
BARNWELL,96
BARRE,97
BARRINGTON,98
BARSTOW,99
BARTLESVILLE,100
BARTLETT,101
BARTOW,102
BASTROP,103
BATAVIA,104
BATESVILLE,105
BATH,106
BATON ROUGE,107
BATTLE CREEK,108
BAXLEY,109
BAY CITY,110
BAY MINETTE,111
BAY SAINT LOUIS,112
BAY SHORE,113
BAYONNE,114
BAYTOWN,115
BEACHWOOD,116
BEAUFORT,117
BEAUMONT,118
BEAVER,119
BEAVER DAM,120
BECKLEY,121
BEDFORD,122
BEECH GROVE,123
BEEVILLE,124
BEL AIR,125
BELCOURT,126
BELLAIRE,127
BELLE GLADE,128
BELLEFONTAINE,129
BELLEVILLE,130
BELLEVUE,131
BELLFLOWER,132
BELLINGHAM,133
BELLVILLE,134
BELOIT,135
BELTON,136
BEMIDJI,137
BEND,138
BENNETTSVILLE,139
BENNINGTON,140
BENSALEM,141
BENTON,142
BERKELEY,143
BERLIN,144
BERWICK,145
BERWYN,146
BESSEMER,147
BETHEL,148
BETHESDA,149
BETHLEHEM,150
BETHPAGE,151
BETTENDORF,152
BEVERLY,153
BIDDEFORD,154
BIG BEAR LAKE,155
BIG RAPIDS,156
BIG SPRING,157
BIG STONE GAP,158
BILLINGS,159
BILOXI,160
BINGHAMTON,161
BIRMINGHAM,162
BISMARCK,163
BLACKSBURG,164
BLACKWELL,165
BLAIRSVILLE,166
BLOOMINGTON,167
BLOOMSBURG,168
BLUE ISLAND,169
BLUE RIDGE,170
BLUE SPRINGS,171
BLUEFIELD,172
BLUFFTON,173
BLYTHE,174
BLYTHEVILLE,175
BOARDMAN,176
BOAZ,177
BOCA RATON,178
BOGALUSA,179
BOISE,180
BOLINGBROOK,181
BOLIVAR,182
BOONE,183
BOONEVILLE,184
BOONVILLE,185
BOSSIER CITY,186
BOSTON,187
BOULDER,188
BOUNTIFUL,189
BOWIE,190
BOWLING GREEN,191
BOYNTON BEACH,192
BOZEMAN,193
BRADENTON,194
BRADFORD,195
BRAINERD,196
BRANDON,197
BRANSON,198
BRATTLEBORO,199
BRAWLEY,200
BRECKENRIDGE,201
BREESE,202
BREMERTON,203
BRENHAM,204
BREWTON,205
BRICK,206
BRIDGEPORT,207
BRIDGETON,208
BRIGHAM CITY,209
BRIGHTON,210
BRISTOL,211
BRISTOW,212
BROCKPORT,213
BROCKTON,214
BROKEN ARROW,215
BRONX,216
BRONXVILLE,217
BROOKFIELD,218
BROOKHAVEN,219
BROOKINGS,220
BROOKLYN,221
BROOKSVILLE,222
BROWNFIELD,223
BROWNING,224
BROWNS MILLS,225
BROWNSVILLE,226
BROWNWOOD,227
BRUNSWICK,228
BRYAN,229
BRYN MAWR,230
BUCKHANNON,231
BUFFALO,232
