provider_name,provider_name_id
ABBEVILLE GENERAL HOSPITAL,0
ABBOTT NORTHWESTERN HOSPITAL,1
ABILENE REGIONAL MEDICAL CENTER,2
ABINGTON MEMORIAL HOSPITAL,3
ACMH HOSPITAL,4
ADCARE HOSPITAL OF WORCESTER INC,5
ADENA REGIONAL MEDICAL CENTER,6
ADIRONDACK MEDICAL CENTER,7
ADVANCED SURGICAL HOSPITAL,8
ADVENTIST BOLINGBROOK HOSPITAL,9
ADVENTIST GLENOAKS,10
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,11
ADVENTIST MEDICAL CENTER,12
ADVENTIST MEDICAL CENTER - REEDLEY,13
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,14
ADVOCATE CONDELL MEDICAL CENTER,15
ADVOCATE GOOD SAMARITAN HOSPITAL,16
ADVOCATE GOOD SHEPHERD HOSPITAL,17
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,18
ADVOCATE LUTHERAN GENERAL HOSPITAL,19
ADVOCATE SOUTH SUBURBAN HOSPITAL,20
ADVOCATE TRINITY HOSPITAL,21
AFFINITY MEDICAL CENTER,22
AHMC ANAHEIM REGIONAL MEDICAL CENTER,23
AIKEN REGIONAL MEDICAL CENTER,24
AKRON GENERAL MEDICAL CENTER,25
ALAMANCE REGIONAL MEDICAL CENTER,26
ALAMEDA COUNTY MEDICAL CENTER,27
ALAMEDA HOSPITAL,28
ALASKA NATIVE MEDICAL CENTER,29
ALASKA REGIONAL HOSPITAL,30
ALBANY MEDICAL CENTER HOSPITAL,31
ALBANY MEMORIAL HOSPITAL,32
ALBEMARLE HOSPITAL AUTHORITY,33
ALBERT EINSTEIN MEDICAL CENTER,34
ALEGENT HEALTH BERGAN MERCY MEDICAL CENTER,35
ALEGENT HEALTH IMMANUEL MEDICAL CENTER,36
ALEGENT HEALTH LAKESIDE HOSPITAL,37
ALEGENT HEALTH MERCY HOSPITAL,38
ALEGENT HEALTH MIDLANDS HOSPITAL,39
ALEXIAN BROTHERS MEDICAL CENTER,40
ALHAMBRA HOSPITAL MEDICAL CENTER,41
ALICE HYDE MEDICAL CENTER,42
ALLE KISKI MEDICAL CENTER,43
ALLEGHENY GENERAL HOSPITAL,44
ALLEGIANCE HEALTH,45
ALLEN MEMORIAL HOSPITAL,46
ALLEN PARISH HOSPITAL,47
ALLIANCE COMMUNITY HOSPITAL,48
ALLIANCE HEALTH CENTER,49
ALLIANCE HEALTHCARE SYSTEM,50
ALPENA REGIONAL MEDICAL CENTER,51
ALTA BATES SUMMIT MEDICAL CENTER,52
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,53
ALTA VIEW HOSPITAL,54
ALTA VISTA REGIONAL HOSPITAL,55
ALTON MEMORIAL HOSPITAL,56
ALTOONA REGIONAL HEALTH SYSTEM,57
ALTRU HOSPITAL,58
ALVARADO HOSPITAL MEDICAL CENTER,59
AMERICAN FORK HOSPITAL,60
AMERICAN LEGION HOSPITAL,61
AMHERST HOSPITAL,62
ANAHEIM GENERAL HOSPITAL,63
ANDALUSIA REGIONAL HOSPITAL,64
ANDERSON HOSPITAL,65
ANDERSON REGIONAL MEDICAL CENTER,66
ANDERSON REGIONAL MEDICAL CENTER SOUTH CAMPUS,67
ANGLETON-DANBURY MEDICAL CENTER,68
"ANIMAS SURGICAL HOSPITAL, LLC",69
ANMED HEALTH,70
ANNA JAQUES HOSPITAL,71
ANNE ARUNDEL MEDICAL CENTER,72
ANSON COMMUNITY HOSPITAL,73
ANSON GENERAL HOSPITAL,74
ANTELOPE VALLEY HOSPITAL MED CENTER,75
APPLETON MED CTR,76
APPLING HOSPITAL,77
ARIA HEALTH,78
ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,79
ARIZONA REGIONAL MEDICAL CENTER,80
ARIZONA SPINE AND JOINT HOSPITAL,81
ARKANSAS HEART HOSPITAL,82
ARKANSAS METHODIST MEDICAL CENTER,83
ARKANSAS SURGICAL HOSPITAL,84
ARKANSAS VALLEY REGIONAL MEDICAL CENTER,85
ARNOT OGDEN MEDICAL CENTER,86
"AROOSTOOK MEDICAL CENTER,THE",87
ARROWHEAD HOSPITAL,88
ARROWHEAD REGIONAL MEDICAL CENTER,89
ARROYO GRANDE COMMUNITY HOSPITAL,90
ARTESIA GENERAL HOSPITAL,91
ASHLAND COMMUNITY HOSPITAL,92
ASHLEY VALLEY MEDICAL CENTER,93
ASHTABULA COUNTY MEDICAL CENTER,94
ASPIRUS WAUSAU HOSPITAL,95
ATHENS REGIONAL MEDICAL CENTER,96
ATHENS-LIMESTONE HOSPITAL,97
ATLANTA MEDICAL CENTER,98
ATLANTA MEMORIAL HOSPITAL,99
ATLANTIC GENERAL HOSPITAL,100
ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,101
ATMORE COMMUNITY HOSPITAL,102
ATRIUM MEDICAL CENTER,103
AUBURN COMMUNITY HOSPITAL,104
AUBURN REGIONAL MEDICAL CENTER,105
AUDRAIN MEDICAL CENTER,106
AUGUSTA HEALTH,107
AULTMAN HOSPITAL,108
AURELIA OSBORN FOX MEMORIAL HOSPITAL,109
AURORA BAYCARE MED CTR,110
AURORA LAKELAND MED CTR,111
AURORA MED CENTER-WASHINGTON COUNTY,112
AURORA MED CTR KENOSHA,113
AURORA MED CTR MANITOWOC CTY,114
AURORA MED CTR OSHKOSH,115
AURORA MEDICAL CENTER,116
AURORA MEMORIAL HSPTL BURLINGTON,117
AURORA SHEBOYGAN MEM MED CTR,118
AURORA ST LUKES MEDICAL CENTER,119
AURORA WEST ALLIS MEDICAL CENTER,120
AUSTIN SURGICAL HOSPITAL,121
AVENTURA HOSPITAL AND MEDICAL CENTER,122
AVERA HEART HOSPITAL OF SOUTH DAKOTA LLC,123
AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,124
AVERA QUEEN OF PEACE,125
AVERA SACRED HEART HOSPITAL,126
AVERA ST LUKES,127
AVOYELLES HOSPITAL,128
"BAILEY MEDICAL CENTER, L L C",129
BAKERSFIELD HEART HOSPITAL,130
BAKERSFIELD MEMORIAL HOSPITAL,131
BALTIMORE WASHINGTON  MEDICAL CENTER,132
BAMBERG COUNTY MEMORIAL HOSPITAL,133
BANNER BAYWOOD MEDICAL CENTER,134
BANNER BOSWELL MEDICAL CENTER,135
BANNER CHURCHILL COMMUNITY HOSPITAL,136
BANNER DEL E WEBB MEDICAL CENTER,137
BANNER DESERT MEDICAL CENTER,138
BANNER ESTRELLA MEDICAL CENTER,139
BANNER GATEWAY MEDICAL CENTER,140
BANNER GOOD SAMARITAN MEDICAL CENTER,141
BANNER HEART HOSPITAL,142
BANNER THUNDERBIRD MEDICAL CENTER,143
BAPTIST EASLEY HOSPITAL,144
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,145
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,146
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,147
BAPTIST HOSPITAL,148
BAPTIST HOSPITAL EAST,149
BAPTIST HOSPITAL NORTHEAST,150
BAPTIST HOSPITAL OF MIAMI INC,151
BAPTIST MEDICAL CENTER,152
BAPTIST MEDICAL CENTER  BEACHES,153
BAPTIST MEDICAL CENTER - NASSAU,154
BAPTIST MEDICAL CENTER EAST,155
BAPTIST MEDICAL CENTER SOUTH,156
BAPTIST MEDICAL CENTER-PRINCETON,157
BAPTIST MEM HOSP/GOLDEN TRIANGLE INC,158
BAPTIST MEMORIAL HOSPITAL,159
BAPTIST MEMORIAL HOSPITAL BOONEVILLE,160
BAPTIST MEMORIAL HOSPITAL DESOTO,161
BAPTIST MEMORIAL HOSPITAL HUNTINGDON,162
BAPTIST MEMORIAL HOSPITAL NORTH MS,163
BAPTIST MEMORIAL HOSPITAL TIPTON,164
BAPTIST MEMORIAL HOSPITAL UNION CITY,165
BAPTIST MEMORIAL HOSPITAL UNION COUNTY,166
BAPTIST REGIONAL MEDICAL CENTER,167
BAPTIST ST ANTHONYS HEALTH SYSTEM-BAPTIST CAMPUS,168
BARNES JEWISH HOSPITAL,169
BARNES-JEWISH ST PETERS HOSPITAL,170
BARNES-JEWISH WEST COUNTY HOSPITAL,171
BARNWELL COUNTY HOSPITAL,172
BARROW REGIONAL MEDICAL CENTER,173
